,Pollutant,Source,Year,value
236,OC,Manufacturing and Construction,2015,0.01
237,NH3,Manufacturing and Construction,2015,0.0
238,N2O,Manufacturing and Construction,2015,0.03
239,CO2,Manufacturing and Construction,2015,3557.52
240,CO,Residential,2015,0.41
241,NOx,Residential,2015,0.1
242,SO2,Residential,2015,0.01
243,CH4,Residential,2015,0.01
244,PM2.5,Residential,2015,
245,PM10,Residential,2015,0.01
246,NMVOC,Residential,2015,0.06
247,BC,Residential,2015,0.04
248,OC,Residential,2015,0.01
249,NH3,Residential,2015,0.0
250,N2O,Residential,2015,0.01
251,CO2,Residential,2015,212.92
252,CO,Transportation,2016,682.61
253,NOx,Transportation,2016,84.79
254,SO2,Transportation,2016,6.77
255,CH4,Transportation,2016,6.06
256,PM2.5,Transportation,2016,5.07
257,PM10,Transportation,2016,20.44
258,NMVOC,Transportation,2016,670.5
259,BC,Transportation,2016,0.22
260,OC,Transportation,2016,0.98
261,NH3,Transportation,2016,1.83
262,N2O,Transportation,2016,0.29
263,CO2,Transportation,2016,21999.0
264,CO,Manufacturing and Construction,2016,4.15
265,NOx,Manufacturing and Construction,2016,9.74
266,SO2,Manufacturing and Construction,2016,2.36
267,CH4,Manufacturing and Construction,2016,0.15
268,PM2.5,Manufacturing and Construction,2016,0.34
269,PM10,Manufacturing and Construction,2016,0.6
270,NMVOC,Manufacturing and Construction,2016,0.26
271,BC,Manufacturing and Construction,2016,0.14
272,OC,Manufacturing and Construction,2016,0.01
273,NH3,Manufacturing and Construction,2016,0.0
274,N2O,Manufacturing and Construction,2016,0.03
275,CO2,Manufacturing and Construction,2016,3861.9
276,CO,Residential,2016,0.42
277,NOx,Residential,2016,0.1
278,SO2,Residential,2016,0.01
279,CH4,Residential,2016,0.01
280,PM2.5,Residential,2016,
281,PM10,Residential,2016,0.01
282,NMVOC,Residential,2016,0.07
283,BC,Residential,2016,0.04
284,OC,Residential,2016,0.01
285,NH3,Residential,2016,0.0
286,N2O,Residential,2016,0.01
287,CO2,Residential,2016,220.36
